opposingTeam,home_or_away,icetime,gameScore,I_F_primaryAssists,I_F_secondaryAssists,log10_I_F_shotAttempts,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,I_F_penalityMinutes,log10_I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts,I_F_dZoneGiveaways,penalityMinutesDrawn,penaltiesDrawn
N.J,AWAY,2.08278537031645,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N.J,AWAY,3.0580462303952816,1.0,0.0,1.0,0.6020599913279624,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.7781512503836436,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
N.J,AWAY,2.9222062774390163,1.0,0.0,1.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.7781512503836436,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
N.J,AWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N.J,AWAY,2.27415784926368,1.0,0.0,0.0,0.4771212547196624,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TOR,HOME,2.0,4.995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOR,HOME,3.0538464268522527,4.995,3.0,0.0,0.7781512503836436,2.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,0.0,0.8450980400142568,0.0,2.0,0.0,1.0,0.0,1.0,5.0,0.0,2.0,1.0
TOR,HOME,2.8494194137969,4.995,1.0,0.0,0.6989700043360189,2.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.7781512503836436,0.0,2.0,0.0,1.0,0.0,1.0,4.0,0.0,2.0,1.0
TOR,HOME,1.6232492903979006,4.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOR,HOME,2.456366033129043,4.995,1.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
WPG,HOME,1.9242792860618816,0.07,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
